C,G,I,XN,Y
4635.922662,984.2722265,2069.607442,1.829407536,7547.882144
4930.28339,1106.346925,2002.722774,-59.15084365,7536.518992
5175.986601,945.8990403,1912.768706,-86.75826646,7478.78082
5333.347085,1268.473637,2074.088548,-80.77111453,8008.66664
5038.986356,1075.888209,2385.276516,-51.11253781,8229.212702
5322.821877,1147.837933,2419.797634,-61.31287074,8417.818004
5576.807218,1146.398938,2086.702034,-106.4382566,8211.045527
5617.010061,1376.877888,2392.910994,-113.2569574,8614.524865
5251.215955,1195.804416,2201.219206,-7.483939918,8512.0964
5360.954187,1236.096261,1894.844279,85.42778825,8481.760759
5232.408617,1075.408544,1583.988246,172.5186743,8198.953899
5178.057134,1336.106378,1333.544169,257.059477,8277.251689
4774.130718,1234.657267,1436.111723,278.8460577,8120.47985
5001.889312,1236.336094,1227.823244,266.7608806,7997.531117
5062.107304,1040.153179,1182.016375,240.3730629,7764.430844
5057.966239,1464.176887,1249.398943,245.4732293,8127.328588
4930.973568,1328.671573,1391.134689,303.0164118,8384.89623
5114.560798,1350.975987,1279.936856,263.4901217,8232.124573
5294.524597,1130.809831,1272.800278,237.5457967,8119.301524
5204.283881,1492.716944,1428.311278,211.6569082,8389.536374
5115.941154,1290.298387,1642.076666,221.5246216,8539.105041
5350.601524,1452.185266,1566.561719,164.812988,8487.030468
5419.791824,1078.526365,1411.216686,209.1622616,8193.121959
5334.899984,1530.130801,1346.655556,261.549841,8528.896049
5072.977601,1286.221236,1446.899573,205.0045172,8208.491352
5290.210987,1427.002863,1365.24385,245.8612855,8409.218652
5206.526958,1129.131005,1041.608364,247.5243832,7769.449783
5103.000324,1587.930412,986.1754144,295.4770353,8109.501791
4806.914152,1319.797774,1236.951424,318.4277844,8119.219038
5203.938792,1450.266607,1323.254221,289.268137,8443.175116
5290.901165,1071.571225,1158.781007,266.4836977,8038.083561
5343.354659,1523.175661,1389.143086,246.7482709,8568.977287
4930.628479,1287.420398,1390.636789,313.9374204,8378.163162
5246.384712,1447.868283,1421.174701,268.3131052,8546.889028
5297.975485,1059.579605,1382.50441,189.537708,8031.742408
5544.368873,1543.081751,1526.72966,168.748986,8636.950844
5233.098794,1276.627939,1572.204595,213.8743719,8575.114059
5692.757048,1438.274986,1671.286843,158.2714701,8912.465891
5770.402024,1062.697426,1287.903268,200.1260971,8452.556703
5749.179064,1552.675047,1444.078135,184.1603586,8881.444762
5475.523662,1282.863582,1457.023555,273.0806521,8964.419624
5908.092447,1480.965156,1932.850703,82.71139525,9262.515905
6164.838498,1091.477316,1522.580487,103.0566245,8885.511844
6261.98099,1598.722871,1726.387859,113.9221965,9522.792509
5726.748293,1366.085429,1771.03296,159.6573849,9268.190329
6235.409154,1539.484265,1939.157446,122.5703049,9775.235335
6369.821233,1182.613633,1537.351542,80.54936816,9176.389016
6642.613913,1579.77611,1891.856875,44.68189314,9894.608989
5937.942626,1385.03219,2145.952223,76.50249694,9701.98633
6506.994023,1542.122421,2104.294527,20.45610244,9986.41775
6623.63403,1164.626202,1920.735118,-11.30906477,9607.923069
6881.932982,1707.366954,1976.334035,-23.17249545,10155.18226
6094.267843,1410.454426,2311.587205,-37.364263,10008.89466
6304.6944,1428.916551,2199.172511,-96.785344,10171.03541
6243.678793,1376.521052,2214.659705,-92.870298,10066.25841
6598.254372,1423.995127,2355.827803,-129.287627,10416.09623
6258.157973,1453.656689,2665.717344,-152.55538,10343.38849
6643.071544,1483.317259,2605.118448,-252.027444,10772.52623
6683.956774,1419.088633,2602.089902,-271.016665,10602.75289
6993.989489,1453.210032,2520.134962,-276.662127,10952.7734
6175.112898,1452.851935,1999.485604,316.637046,10189.74548
6181.258426,1453.734258,1590.501485,410.429972,9795.718997
6211.964475,1408.869523,1673.061506,451.69487,9802.904372
6448.569425,1430.926027,1880.856868,361.30676,10198.5133
6291.062407,1433.87656,2024.928868,484.280609,10426.43091
6402.541642,1450.38403,1903.26551,493.538144,10569.22751
6521.076353,1407.539116,2132.473593,412.85155,10583.1121
6936.202521,1453.413086,2208.891141,260.547964,11116.5266
6569.604792,1483.78236,2279.47976,443.090774,10862.93204
7017.809208,1532.725125,2265.922719,256.806163,11460.0681
7048.660032,1482.55239,2437.234846,95.655356,11408.20083
7471.269785,1524.271353,2452.350098,3.614874,11887.38008
7184.235798,1514.404964,2671.484419,164.470162,11827.63801
7465.643638,1540.743964,2459.901294,52.119938,12034.46421
7504.538189,1504.404519,2663.12289,-37.482218,11972.37161
7755.476003,1548.390585,2610.783714,10.09059,12139.81661
7494.211721,1589.245187,2708.502248,108.503914,12100.15455
7778.286322,1633.150844,2571.192976,-69.99277,12315.21908
7891.798551,1585.550646,2707.723712,-178.254782,12325.22913
8191.297631,1619.420975,2719.33002,-291.490286,12554.68579
7995.27884,1667.399091,2925.262853,-227.492904,12725.02206
8327.865405,1683.189677,2781.288733,-294.171493,12994.5689
8464.17257,1627.789111,2870.886889,-452.056314,13008.79224
8803.110105,1649.555873,2703.388681,-516.727583,13003.30216
8333.669516,1608.971875,2709.54997,-263.092686,12796.1195
8589.455494,1633.207474,2473.422679,-340.090023,12967.53019
8598.756822,1586.065763,2609.314979,-359.032625,12857.40865
8910.446904,1618.815752,2501.516031,-475.995826,12901.42921
8368.22722,1604.492331,2432.987678,-273.292068,12415.54145
8872.558,1646.079007,2593.445523,-528.290538,13112.36276
8780.948731,1593.892595,2648.013161,-453.509361,12889.95008
8993.780401,1624.808195,2555.868006,-300.758509,13084.10438
8634.776327,1622.763178,2741.117829,-563.286244,12803.32369
8902.168215,1668.968865,2577.174287,-482.245368,13182.93005
8938.97887,1563.785341,2510.789164,-329.29234,12954.91294
9320.334892,1603.699789,2583.929459,-294.99141,13305.70741
8948.113438,1598.444049,2799.024981,-149.978762,13252.62958
9320.105209,1639.816636,2862.836417,-298.010152,13732.336
9436.174883,1547.155163,2783.894631,-377.908086,13438.2601
9799.822841,1611.077181,2859.413592,-524.104415,13872.03455
9203.658791,1596.518621,2857.589267,-173.901235,13354.78787
9681.228668,1661.20153,2855.85985,-270.30894,14104.83395
9698.133781,1603.777754,2814.555042,-406.501448,13782.14444
9955.955192,1679.286619,3061.361556,-442.012633,14306.52382
9642.899173,1680.458225,3126.908384,-153.113099,14107.96002
10056.97963,1724.694008,3239.078751,-344.420735,14700.50392
10058.44164,1630.981297,3193.898768,-555.201344,14435.86771
10344.99594,1681.747374,3274.555141,-481.318854,14800.89734
9931.866093,1668.21071,3246.116343,-317.39655,14393.72737
10334.90979,1738.305647,3292.953444,-468.161994,14993.33939
10303.25314,1679.116623,3318.732718,-623.915827,14783.29824
10539.64778,1754.703481,3624.503279,-652.605178,15204.93891
10095.49561,1696.325339,3409.735034,-480.008123,14563.42838
10579.43698,1800.188941,3658.476597,-666.730662,15386.33405
10433.59693,1729.406612,3519.659716,-994.421374,14979.49472
10292.27722,1814.586251,3588.24372,-686.313586,15125.05357
9316.626873,1770.479429,3060.146981,-313.539714,13752.14881
9468.463822,1837.453747,3045.017982,-219.386251,14012.93756
9777.813809,1785.895433,3098.385806,-619.742696,14231.94145
10249.8881,1853.629403,3289.852908,-405.485543,14882.96569
9622.182657,1799.998185,3286.084155,-244.549272,14371.72149
9983.655141,1883.424495,3318.108611,-265.424902,14998.39935
10086.37542,1833.561832,3206.48063,-355.625333,14921.4528
10514.57072,1895.948364,3530.578084,-198.256853,15499.60515
9928.707193,1855.309873,3375.030873,-58.253305,14902.73312
10281.38008,1908.638388,3492.356103,-146.941796,15413.04644
