ingreso,gasto
22.72334,3.92055
17.92019,29.78918
27.50566,18.22166
56.23577,21.55844
41.58681,66.00582
135.43682,63.63942
62.38644,56.64944
103.50236,30.89960
27.32267,11.74869
68.04202,61.54896
98.53735,64.37206
53.23694,55.45286
132.86122,30.26089
190.03327,48.33388
28.65418,16.06003
74.40751,120.03198
80.76108,43.11897
38.64032,10.25641
81.67229,35.61470
22.61074,25.23567
30.45634,18.77476
29.56963,29.23726
63.14650,8.12375
34.01835,15.84177
155.85371,134.49926
110.53277,131.25606
24.92450,24.82697
12.28677,7.62595
31.91216,30.69755
108.65387,75.32016
89.67485,44.02715
80.86927,29.20395
52.64982,17.30546
42.88536,10.81239
15.03678,3.07204
46.60301,16.86620
63.04343,16.55468
19.38546,18.09646
21.93884,9.75928
19.15090,13.27327
241.90079,214.98751
30.15810,11.00834
50.26928,8.93819
22.88993,10.23351
30.00322,13.01303
40.80155,2.39353
13.78560,8.50479
48.32457,21.57466
23.62287,26.13843
11.87349,2.28299
50.93203,31.31882
57.56155,57.70618
59.77916,33.19317
16.75966,29.79104
31.33352,21.21491
29.39717,18.25477
46.13112,33.64743
33.95063,10.81875
202.48965,42.21127
53.34423,27.68921
14.76373,10.77985
17.80179,16.88640
18.26963,14.91609
4.93041,23.24034
9.39701,3.38466
19.05431,7.60084
21.48421,8.88596
16.03094,8.99196
61.93299,55.06855
43.08596,17.20444
31.91861,24.59225
82.68078,11.67461
9.67500,3.58837
16.71007,14.18166
54.70463,26.84161
58.29200,24.66494
10.83136,5.69362
37.20414,40.17040
14.11160,15.02500
19.45676,12.62737
33.67905,21.74092
48.16591,49.68681
17.57082,9.88959
31.86587,27.79313
156.62235,64.04513
64.35748,35.23058
108.59345,44.53403
102.23015,18.22055
122.66268,42.96341
87.20088,48.38794
35.73401,23.96619
147.08193,112.70910
139.15034,19.63197
310.45674,135.52244
130.74910,35.37126
30.11240,58.82397
27.86557,19.52137
34.59886,44.30941
66.86568,17.59010
13.11184,6.11346
37.91289,13.85173
57.48710,33.78845
36.25817,14.50605
21.95091,15.01995
37.38192,44.72881
92.07920,55.19835
8.69015,9.20516
29.55734,25.56016
26.52297,10.43434
35.43808,25.78583
18.48767,8.43705
44.08165,23.71748
34.15569,29.23058
53.26255,17.13671
39.58542,27.12977
118.97698,53.77611
51.21889,32.83269
46.10413,17.05344
41.55098,25.16915
17.64234,18.48844
25.51702,21.26635
38.44638,28.37639
37.32526,14.23271
10.28468,3.51378
64.76179,45.66403
44.58763,27.41187
39.30122,25.58657
52.11796,16.42212
46.22281,59.30406
43.52896,26.29110
69.21676,37.03512
41.47906,42.38245
60.50033,49.80294
21.30823,20.41678
18.19309,33.03847
72.43768,42.84998
45.88637,23.95567
