 C_f , I_f , Y_f ,CE_f, Rr_f 
8497798.87,2017737.33,23398310.15,50.73,1.56
8597799.88,2055117.2,23750608.27,52.43,2.42
8701120.39,1992300.05,23879164.3,53.01,2.67
8796289.22,2071831.96,24051319.94,53.01,3.19
8804363.68,2115047.53,24223076.29,53.56,5.01
8783672.9,2098612.17,24196316.42,53.21,5.54
8876231.94,2137603.21,24509285.35,52.87,5.9
8878282.38,2206997.38,24997449.93,54.24,6
9033720.86,2271377.77,25436897.07,55.06,4.32
9161772.26,2358736.19,25828656,55.13,4.26
9140756.62,2387062.01,25925550.86,56.51,3.77
9167832.72,2419190.22,25974034.69,56.4,3.17
9312571.99,2399277.82,26294568.86,58.44,3.34
9386101.61,2457988.56,26462222.83,57.41,3.65
9358055.79,2533265.62,26502012.26,56.61,3.72
9335485.39,2639471.41,26560517.36,56.22,4.05
9433288.66,2605101.3,26568985.5,54.17,4.04
9562067.7,2610099.03,26717163.43,50.23,3.04
9456350.74,2576196.7,26676113.72,48.33,3.02
9215115.22,2486559.35,26152526.99,37.98,2.54
8927114.27,2090178.8,24548781.03,35.09,1.82
8778242.48,2122457.49,24282592.65,38.39,-0.06
9010330.41,2212531.58,25029015.67,42.06,-0.23
9187590.71,2257922.54,25593056.93,45.47,0.95
9085140.27,2333044.71,25958540.57,49.13,0.16
9187705.37,2318062.7,26218134.62,55.4,0.98
9234661.19,2292253.36,26356154.72,56.91,1.23
9351616.73,2336749.12,26438847.64,57.92,0.63
9321976.77,2415389.37,26631342.73,57.97,1.38
9447462.79,2593833.41,26865867.81,56.82,1.55
9578097.26,2651358.86,27261888.19,55.67,1.43
9619747.18,2780085.49,27564774.42,54.69,1.3
9656176.87,2809355.31,27747709.78,55.33,0.9
9645900.04,2849715.84,28046615.77,54.03,0.89
9676797.06,2890127.25,28090378.71,54.7,0.2
9676297.42,2835569.83,28242403.27,56.45,0.72
9764807.47,2837796.2,28223329.51,57.4,1.03
9696015.03,2725231.6,28147511.29,56.63,-0.14
9750683.47,2674436.98,28314791.08,54.7,0.8
9820618.64,2717431.07,28458794.48,51.85,0.2
9856733.87,2744099.85,28678129,52.12,-0.37
9999153.82,2869258.88,29212231.33,52.13,0.09
9993201.02,2814191.43,29156404.09,53.02,-0.85
10052732.09,2994660.99,29491093.59,52.37,-0.89
10136090.11,2973725.56,29632306.75,50.2,0.23
10154184.66,3094071.18,29889778.04,49.56,0.36
10276813.04,3196863.44,30190996.65,48.8,0.7
10415408.52,3143217.27,30252357.89,50.64,1.08
10542563.78,3138390.61,30344218.01,48.31,1.1
10596798.59,3105642.19,30338586.92,49.8,1.52
10756060.58,3131029.73,30510305.23,49.09,1.8
10959882.99,3188870.14,30896467.33,48,2.19
10999780.37,3137030.7,31149862.72,44.39,1.42
11006685,3160520.82,31299165.99,48.57,0.92
11033311.59,3195843.56,30977498.58,50.1,0.89
11106800.4,3194427.87,31378891.02,49.81,0.83
11280567.99,3273567.42,31628805.84,50.27,2.44
11300698.82,3244835.26,31703803.78,50.73,3.3
11340988.25,3216686.75,31744316.23,52.48,3.2
11298703.27,3114313.06,31733681.17,50.89,3.44
11375492.63,3245538.3,31822321.99,52.31,4.45
11435032.58,3120654.31,31844888.67,52.6,4.29
11396879.27,3039354.97,31742477.81,50.11,5.04
11326707.47,3010264.41,31417377.89,49.09,4.92
11193876.44,2939523.11,31093121.54,45.9,3.94
8990809.76,1965543.16,24955437.87,37.18,3.29
10004072.44,2468108.14,28945574.87,39.73,1.08
