 C , I , Y 
"4,226,246","1,482,097","12,607,280"
"4,300,004","1,514,439","12,689,525"
"4,405,036","1,564,547","12,963,462"
"4,513,058","1,580,717","13,338,867"
"4,546,706","1,721,468","13,636,720"
"4,617,962","1,811,232","13,990,067"
"4,728,848","1,802,391","14,063,201"
"4,759,514","1,784,621","14,315,154"
"4,751,254","1,723,801","14,039,332"
"4,688,007","1,590,254","14,060,725"
"4,545,090","1,457,207","13,959,600"
"4,498,605","1,149,616","13,653,294"
"4,426,731","1,066,486","13,552,345"
"4,418,270","1,045,067","13,279,846"
"4,418,602","1,047,831","13,390,088"
"4,441,466","1,116,870","13,544,134"
"4,523,366","1,058,749","13,917,967"
"4,523,786","1,088,138","13,713,110"
"4,592,842","1,217,844","14,045,180"
"4,557,595","1,195,675","13,921,410"
"4,671,721","1,239,094","14,176,048"
"4,700,256","1,243,293","14,163,766"
"4,695,841","1,244,896","14,252,346"
"4,675,201","1,208,395","14,213,652"
"4,703,192","1,193,766","13,939,579"
"4,613,720","1,123,299","13,887,512"
"4,550,339","1,032,324","13,623,898"
"4,474,235","1,014,357","13,586,701"
"4,467,604","990,134","13,667,879"
"4,593,788","1,116,549","14,041,863"
"4,638,339","1,130,770","14,056,897"
"4,664,386","1,142,054","14,226,750"
"4,597,611","1,142,974","14,130,647"
"4,591,245","1,149,114","14,085,309"
"4,624,891","1,175,993","14,102,693"
"4,791,432","1,163,605","14,383,651"
"4,914,654","1,212,051","14,653,155"
"4,977,570","1,233,337","14,658,753"
"5,063,380","1,216,835","14,932,010"
"5,006,199","1,233,325","14,800,344"
"5,128,505","1,292,229","15,122,140"
"5,267,973","1,360,288","15,450,260"
"5,418,206","1,408,542","15,661,023"
"5,428,498","1,478,262","15,860,067"
"5,372,577","1,482,955","15,903,779"
"5,506,576","1,520,723","16,147,143"
"5,627,829","1,505,740","16,177,167"
"5,732,291","1,635,617","16,469,354"
"5,533,602","1,641,416","16,467,915"
"5,831,817","1,704,081","16,737,960"
"5,919,414","1,749,233","16,893,385"
"6,001,757","1,720,386","16,907,458"
"5,984,252","1,673,587","16,979,232"
"6,006,787","1,751,039","17,086,815"
"5,982,181","1,786,667","17,257,010"
"6,103,388","1,859,924","17,487,207"
"6,147,203","1,980,357","17,711,758"
"6,271,810","2,120,193","18,129,219"
"6,371,581","2,133,149","18,446,067"
"6,409,393","1,994,803","18,670,414"
"6,239,104","1,298,457","17,404,443"
"6,060,249","1,216,717","16,509,264"
"6,115,969","1,225,700","16,821,409"
"6,190,067","1,318,728","17,246,955"
"6,286,210","1,434,898","17,723,312"
"6,283,052","1,527,750","17,957,434"
"6,402,804","1,637,072","18,275,460"
"6,547,406","1,723,116","18,846,781"
"6,650,795","1,665,545","18,879,042"
"6,760,288","1,796,891","19,442,639"
"6,843,859","1,900,163","19,849,750"
"6,984,765","1,948,286","20,368,094"
"7,094,422","2,014,618","20,642,992"
"7,169,589","2,079,057","20,897,014"
"7,250,104","2,113,215","21,026,363"
"7,304,447","2,140,112","21,129,086"
"7,380,759","2,181,106","21,352,353"
"7,434,675","2,168,629","21,438,184"
"7,582,559","2,171,449","21,751,717"
"7,652,679","2,182,617","21,937,996"
"7,774,207","2,228,064","22,534,751"
"7,869,114","2,231,779","22,901,889"
"7,972,721","2,209,066","23,067,046"
"8,002,060","2,207,150","22,832,908"
"8,019,038","2,095,576","22,817,480"
"8,038,609","1,990,138","22,642,249"
"8,046,435","2,067,033","22,555,660"
"8,080,220","1,954,192","22,417,729"
"8,089,826","1,901,332","22,425,543"
"8,155,347","1,870,890","22,574,735"
"8,183,305","1,892,950","22,773,176"
"8,173,583","1,865,453","22,846,594"
"8,227,212","1,859,779","22,779,196"
"8,249,480","1,890,015","22,871,203"
"8,298,056","1,891,642","22,896,918"
"8,439,402","1,887,561","23,151,583"
"8,497,799","2,017,737","23,398,310"
"8,597,800","2,055,117","23,750,608"
"8,701,120","1,992,300","23,879,164"
"8,796,289","2,071,832","24,051,320"
"8,804,364","2,115,048","24,223,076"
"8,783,673","2,098,612","24,196,316"
"8,876,232","2,137,603","24,509,285"
"8,878,282","2,206,997","24,997,450"
"9,033,721","2,271,378","25,436,897"
"9,161,772","2,358,736","25,828,656"
"9,140,757","2,387,062","25,925,551"
"9,167,833","2,419,190","25,974,035"
"9,312,572","2,399,278","26,294,569"
"9,386,102","2,457,989","26,462,223"
"9,358,056","2,533,266","26,502,012"
"9,335,485","2,639,471","26,560,517"
"9,433,289","2,605,101","26,568,986"
"9,562,068","2,610,099","26,717,163"
"9,456,351","2,576,197","26,676,114"
"9,215,115","2,486,559","26,152,527"
"8,927,114","2,090,179","24,548,781"
"8,778,242","2,122,457","24,282,593"
"9,010,330","2,212,532","25,029,016"
"9,187,591","2,257,923","25,593,057"
"9,085,140","2,333,045","25,958,541"
"9,187,705","2,318,063","26,218,135"
"9,234,661","2,292,253","26,356,155"
"9,351,617","2,336,749","26,438,848"
"9,321,977","2,415,389","26,631,343"
"9,447,463","2,593,833","26,865,868"
"9,578,097","2,651,359","27,261,888"
"9,619,747","2,780,085","27,564,774"
"9,656,177","2,809,355","27,747,710"
"9,645,900","2,849,716","28,046,616"
"9,676,797","2,890,127","28,090,379"
"9,676,297","2,835,570","28,242,403"
"9,764,807","2,837,796","28,223,330"
"9,696,015","2,725,232","28,147,511"
"9,750,683","2,674,437","28,314,791"
"9,820,619","2,717,431","28,458,794"
"9,856,734","2,744,100","28,678,129"
"9,999,154","2,869,259","29,212,231"
"9,993,201","2,814,191","29,156,404"
"10,052,732","2,994,661","29,491,094"
"10,136,090","2,973,726","29,632,307"
"10,154,185","3,094,071","29,889,778"
"10,276,813","3,196,863","30,190,997"
"10,415,409","3,143,217","30,252,358"
"10,542,564","3,138,391","30,344,218"
"10,596,799","3,105,642","30,338,587"
"10,756,061","3,131,030","30,510,305"
"10,959,883","3,188,870","30,896,467"
"10,999,780","3,137,031","31,149,863"
"11,006,685","3,160,521","31,299,166"
"11,033,312","3,195,844","30,977,499"
"11,106,800","3,194,428","31,378,891"
"11,280,568","3,273,567","31,628,806"
"11,300,699","3,244,835","31,703,804"
"11,340,988","3,216,687","31,744,316"
"11,298,703","3,114,313","31,733,681"
"11,375,493","3,245,538","31,822,322"
"11,435,033","3,120,654","31,844,889"
"11,396,879","3,039,355","31,742,478"
"11,326,707","3,010,264","31,417,378"
"11,193,876","2,939,523","31,093,122"
"8,990,810","1,965,543","24,955,438"
"10,004,072","2,468,108","28,945,575"
