Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2011,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2323.243,272.272,635.571,130.391,1475.988,190.357,64.145,13.54100037,523.1389771,8.331999779,719.3460083,6.050000191,130.3910065,403.5329895,711.0140381,187.875061,1927.8297,1474.3451,0.764769367
2011,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2290.881,278.133,624.733,124.677,1456.825,185.559,52.482,14.81799984,523.8189697,5.171999931,711.09198,5.613999844,124.677002,389.848999,705.9199829,182.1010132,1455.4432,1512.1488,1.038961053
2011,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2491.746,321.642,751.639,126.911,1498.611,230.876,80.95,14.25199986,619.9229736,32.06200027,853.3939819,6.265999794,126.9110031,472.2279968,821.3319702,201.4089966,918.8927,1474.3451,1.604480153
2012,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2718.73,417.208,794.397,236.824,1534.349,221.575,17.539,14.17000008,-191.5279999,75.28700256,-312.3909912,-3.904999971,99.85700226,525.3070068,-387.6779785,-196.1499786,1937.2799,1455.4432,0.751281836
2012,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2773.19,398.261,799.815,225.036,1481.102,201.945,31.151,12.70199966,816.8779907,117.5999985,1069.009033,5.282999992,89.80500031,557.6919556,951.4090576,134.5310669,1323.1302,1323.1302,1
2012,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2805.177,405.693,809.958,226.141,1473.781,211.315,23.002,24.375,783.8809814,26.62999916,1058.139038,3.601999998,99.43899536,521.1279907,1031.509033,247.6280518,1084.2934,1587.7562,1.464323402
2013,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2802.053,336.292,803.702,220.722,1421.685,191.249,46.124,78.33799744,745.309021,51.11600113,995.3319702,3.838000059,93.01100159,552.460022,944.2159424,198.9069214,1069.2569,1587.7562,1.484915552
2013,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,2976.591,400.095,812.644,314.954,1513.819,224.838,22.293,99.06199646,727.2310181,47.68600082,991.9509888,2.497999907,188.4120026,604.0299683,944.2650146,217.0339966,84.3714,1512.1484,17.92252351
2013,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,3126.203,450.689,915.486,320.026,1589.337,291.057,26.263,32.66899872,812.5910034,47.93299866,1078.280029,3.710000038,193.2299957,591.815979,1030.347046,217.7560425,1948.6201,1502.6975,0.771159807
2013,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,3069.793,441.97,795.294,358.768,1617.836,207.854,34.688,123.9789963,793.6569824,57.25500107,1070.81897,3.608999968,223.4989929,591.4359741,1013.563965,219.9069824,1587.7562,1786.2253,1.124999732
2014,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000,311,3210.671,449.452,890.552,377.343,1605.819,203.85,19.755,11.54100037,774.9060059,39.14500046,1030.890991,4.451000214,116.4290009,665.2949829,991.7459717,216.8399658,1587.7562,1776.7744,1.11904737
